sequence_length,split,method,source_file,source_sha256,candidate_window_positions,contiguous_windows,nonconsecutive_windows_skipped,ambiguous_windows_excluded,binary_windows,positive_windows,negative_windows,positive_prevalence,score_threshold,distance_threshold,roc_auc,pr_auc,average_precision,precision,recall,specificity,f1,accuracy,balanced_accuracy,matthews_correlation_coefficient
2,stress,legacy_exact,results/pilot/kitti05_resnet/scores/stress_scores.csv,7c3fdc04d8753071ea3b9e0688d5673680649a996ef7d414080b1d7c672ba22d,9570,9504,66,1330,8174,1221,6953,0.14937607046733545,-3.0224552154541016,3.0224552154541016,0.5911633427813494,0.34870118320029964,0.34899899814068985,0.555327868852459,0.22194922194922195,0.9687904501653962,0.3171445289643066,0.8572302422314656,0.5953698360573091,0.28696232166608393
2,stress,corrected_l2,results/pilot/kitti05_resnet/scores/stress_scores.csv,7c3fdc04d8753071ea3b9e0688d5673680649a996ef7d414080b1d7c672ba22d,9570,9504,66,1330,8174,1221,6953,0.14937607046733545,-22.697730197241732,22.697730197241732,0.6051160400362183,0.38545189027335836,0.38568177336448595,0.6879795396419437,0.2203112203112203,0.982453617143679,0.3337468982630273,0.8686077807682897,0.6013824187274497,0.3386684160590499
3,calibration,legacy_exact,results/pilot/kitti05_resnet/scores/calibration_scores.csv,49cc1a9eac8eac367cb2f4978814c68c8fbe69757b2a809f4e3f09a79be45f78,78078,78078,0,4537,73541,3439,70102,0.04676303014644892,-3.2061469554901123,3.2061469554901123,0.7949105838707722,0.3894335385901753,0.38953460419311753,0.47639653815892996,0.35213724920034895,0.981013380502696,0.4049490051830798,0.9516052270162222,0.6665753148515225,0.38504194423994825
3,calibration,corrected_l2,results/pilot/kitti05_resnet/scores/calibration_scores.csv,49cc1a9eac8eac367cb2f4978814c68c8fbe69757b2a809f4e3f09a79be45f78,78078,78078,0,4537,73541,3439,70102,0.04676303014644892,-23.165499370491236,23.165499370491236,0.7759958282530512,0.5220403354433191,0.5220890650605644,0.7262455059065228,0.4111660366385577,0.99239679324413,0.5250649832900112,0.9652166818509403,0.7017814149413438,0.5307269745079464
3,test,legacy_exact,results/pilot/kitti05_resnet/scores/test_scores.csv,710304721dcd9479d7e60eb894d78bed3802b4c7ba8e824346a7ed1ab8ebda8c,13952,13952,0,1563,12389,1051,11338,0.08483331988053919,-3.2061469554901123,3.2061469554901123,0.714013684520232,0.41400264389807767,0.4142912460281537,0.5174825174825175,0.3520456707897241,0.9695713529723056,0.4190260475651189,0.9171845992412624,0.6608085118810149,0.384278199882001
3,test,corrected_l2,results/pilot/kitti05_resnet/scores/test_scores.csv,710304721dcd9479d7e60eb894d78bed3802b4c7ba8e824346a7ed1ab8ebda8c,13952,13952,0,1563,12389,1051,11338,0.08483331988053919,-23.165499370491236,23.165499370491236,0.8232938952713096,0.5766041104570764,0.5767658579020561,0.9010695187165776,0.3206470028544244,0.9967366378550009,0.47298245614035095,0.93938170958108,0.6586918203547126,0.5168403754532931
3,stress,legacy_exact,results/pilot/kitti05_resnet/scores/stress_scores.csv,7c3fdc04d8753071ea3b9e0688d5673680649a996ef7d414080b1d7c672ba22d,9504,9372,132,1433,7939,1146,6793,0.14435067388839903,-3.2061469554901123,3.2061469554901123,0.5866133883329749,0.3405304194031795,0.34095096931530766,0.5491803278688525,0.2338568935427574,0.9676137200058884,0.32802937576499386,0.8616954276357224,0.6007353067743229,0.29479331607460313
3,stress,corrected_l2,results/pilot/kitti05_resnet/scores/stress_scores.csv,7c3fdc04d8753071ea3b9e0688d5673680649a996ef7d414080b1d7c672ba22d,9504,9372,132,1433,7939,1146,6793,0.14435067388839903,-23.165499370491236,23.165499370491236,0.5987243309956943,0.3788595598785378,0.37914109941907276,0.7038123167155426,0.2094240837696335,0.9851317532754306,0.3227975790181574,0.8731578284418693,0.5972779185225321,0.33724113867427735
5,calibration,legacy_exact,results/pilot/kitti05_resnet/scores/calibration_scores.csv,49cc1a9eac8eac367cb2f4978814c68c8fbe69757b2a809f4e3f09a79be45f78,77532,77532,0,5498,72034,2893,69141,0.040161590360107725,-3.4387362003326416,3.4387362003326416,0.7959137220072181,0.35351125525830124,0.35369193225244,0.47435271128480705,0.3356377462841341,0.984437598530539,0.3931174089068826,0.9583807646389205,0.6600376724073366,0.37820446947979947
5,calibration,corrected_l2,results/pilot/kitti05_resnet/scores/calibration_scores.csv,49cc1a9eac8eac367cb2f4978814c68c8fbe69757b2a809f4e3f09a79be45f78,77532,77532,0,5498,72034,2893,69141,0.040161590360107725,-24.49470554301247,24.49470554301247,0.7589405325725601,0.48156390336797306,0.4816442611235066,0.6305177111716621,0.399930867611476,0.9901939514904325,0.48942470389170895,0.966488047310992,0.6950624095509543,0.48614086378453475
5,test,legacy_exact,results/pilot/kitti05_resnet/scores/test_scores.csv,710304721dcd9479d7e60eb894d78bed3802b4c7ba8e824346a7ed1ab8ebda8c,13734,13734,0,1934,11800,834,10966,0.07067796610169491,-3.4387362003326416,3.4387362003326416,0.6968620252439303,0.36402141733053245,0.3645371680503849,0.432475884244373,0.3225419664268585,0.9678095932883458,0.3695054945054945,0.9222033898305084,0.6451757798576021,0.3330075380548607
5,test,corrected_l2,results/pilot/kitti05_resnet/scores/test_scores.csv,710304721dcd9479d7e60eb894d78bed3802b4c7ba8e824346a7ed1ab8ebda8c,13734,13734,0,1934,11800,834,10966,0.07067796610169491,-24.49470554301247,24.49470554301247,0.8165904992584448,0.5304564361891423,0.5307532636965119,0.8305647840531561,0.2997601918465228,0.9953492613532737,0.4405286343612335,0.9461864406779661,0.6475547265998982,0.4797080238058667
5,stress,legacy_exact,results/pilot/kitti05_resnet/scores/stress_scores.csv,7c3fdc04d8753071ea3b9e0688d5673680649a996ef7d414080b1d7c672ba22d,9372,9108,264,1635,7473,998,6475,0.13354743744145592,-3.4387362003326416,3.4387362003326416,0.5738013478694841,0.32560447364002115,0.32626339969502516,0.5691906005221932,0.218436873747495,0.9745173745173745,0.3157132512671977,0.8735447611401044,0.5964771241324347,0.2976576147782695
5,stress,corrected_l2,results/pilot/kitti05_resnet/scores/stress_scores.csv,7c3fdc04d8753071ea3b9e0688d5673680649a996ef7d414080b1d7c672ba22d,9372,9108,264,1635,7473,998,6475,0.13354743744145592,-24.49470554301247,24.49470554301247,0.5798404531069862,0.35547946970833777,0.35588219159645584,0.6866666666666666,0.20641282565130262,0.9854826254826254,0.3174114021571649,0.8814398501271243,0.5959477255669641,0.3325360962733163
